2023/04/20 00:43:35.089, 48, 1 %, 0 %, 601 MiB, 14500 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.160, 48, 1 %, 0 %, 601 MiB, 14500 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.225, 48, 0 %, 0 %, 601 MiB, 14500 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.285, 48, 0 %, 0 %, 603 MiB, 14498 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.344, 48, 0 %, 0 %, 605 MiB, 14496 MiB, 15360 MiB, 28.03 W

2023/04/20 00:43:35.404, 48, 0 %, 0 %, 607 MiB, 14494 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.467, 48, 0 %, 0 %, 611 MiB, 14490 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.533, 48, 0 %, 0 %, 613 MiB, 14488 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.600, 48, 1 %, 0 %, 615 MiB, 14486 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.660, 48, 1 %, 0 %, 619 MiB, 14482 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.723, 48, 1 %, 0 %, 623 MiB, 14478 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.789, 48, 1 %, 0 %, 625 MiB, 14476 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.852, 48, 1 %, 0 %, 631 MiB, 14470 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.916, 48, 1 %, 0 %, 635 MiB, 14466 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:35.984, 48, 1 %, 0 %, 639 MiB, 14462 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:36.043, 48, 1 %, 0 %, 641 MiB, 14460 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:36.103, 48, 1 %, 0 %, 643 MiB, 14458 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:36.165, 48, 1 %, 0 %, 645 MiB, 14456 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:36.227, 48, 0 %, 0 %, 649 MiB, 14452 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:36.288, 48, 0 %, 0 %, 651 MiB, 14450 MiB, 15360 MiB, 27.93 W

2023/04/20 00:43:36.354, 48, 0 %, 0 %, 655 MiB, 14446 MiB, 15360 MiB, 28.03 W

2023/04/20 00:43:36.414, 48, 0 %, 0 %, 659 MiB, 14442 MiB, 15360 MiB, 27.93 W

